DATE,Àº½Ã¼¼
2017-10-02,16.58
2017-10-03,16.61
2017-10-04,16.825
2017-10-05,16.66
2017-10-06,16.625
2017-10-09,16.92
2017-10-10,17.12
2017-10-11,17.15
2017-10-12,17.195
2017-10-13,17.2
2017-10-16,17.41
2017-10-17,17.11
2017-10-18,16.95
2017-10-19,17.025
2017-10-20,17.075
2017-10-23,16.995
2017-10-24,17.035
2017-10-25,16.89
2017-10-26,16.97
2017-10-27,16.72
2017-10-30,16.735
2017-10-31,16.82
2017-11-01,16.94
2017-11-02,17.08
2017-11-03,17.085
2017-11-06,16.915
2017-11-07,17.005
2017-11-08,16.995
2017-11-09,17.1
2017-11-10,17
2017-11-13,16.925
2017-11-14,16.935
2017-11-15,17.115
2017-11-16,17.04
2017-11-17,17.085
2017-11-20,17.145
2017-11-21,17
2017-11-22,16.965
2017-11-23,17.095
2017-11-24,17.05
2017-11-27,17.1
2017-11-28,17.07
2017-11-29,16.895
2017-11-30,16.57
2017-12-01,16.42
2017-12-04,16.33
2017-12-05,16.285
2017-12-06,16.115
2017-12-07,15.91
2017-12-08,15.825
2017-12-11,15.835
2017-12-12,15.78
2017-12-13,15.705
2017-12-14,16.01
2017-12-15,15.985
2017-12-18,16.09
2017-12-19,16.155
2017-12-20,16.185
2017-12-21,16.145
2017-12-22,16.175
2017-12-25,0
2017-12-26,0
2017-12-27,16.5
2017-12-28,16.74
2017-12-29,16.865
2018-01-01,0
2018-01-02,17.06
2018-01-03,17.125
2018-01-04,17.13
2018-01-05,17.155
2018-01-08,17.17
2018-01-09,17.055
2018-01-10,17.135
2018-01-11,17.01
2018-01-12,17.12
2018-01-15,17.325
2018-01-16,17.095
2018-01-17,17.21
2018-01-18,17.09
2018-01-19,17.04
2018-01-22,17.035
2018-01-23,16.98
2018-01-24,17.19
2018-01-25,17.52
2018-01-26,17.4
2018-01-29,17.335
2018-01-30,17.295
2018-01-31,17.23
2018-02-01,17.19
2018-02-02,17.135
2018-02-05,16.875
2018-02-06,16.805
2018-02-07,16.69
2018-02-08,16.345
2018-02-09,16.355
2018-02-12,16.425
2018-02-13,16.605
2018-02-14,16.58
2018-02-15,16.825
2018-02-16,16.835
2018-02-19,16.72
2018-02-20,16.57
2018-02-21,16.435
2018-02-22,16.465
2018-02-23,16.61
2018-02-26,16.67
2018-02-27,16.61
2018-02-28,16.44
2018-03-01,16.315
2018-03-02,16.445
2018-03-05,16.51
2018-03-06,16.62
2018-03-07,16.645
2018-03-08,16.48
2018-03-09,16.485
2018-03-12,16.455
2018-03-13,16.51
2018-03-14,16.605
2018-03-15,16.52
2018-03-16,16.475
2018-03-19,16.285
2018-03-20,16.25
2018-03-21,16.245
2018-03-22,16.52
2018-03-23,16.53
2018-03-26,16.61
2018-03-27,16.64
2018-03-28,16.455
2018-03-29,16.28
2018-03-30,0
2018-04-02,0
2018-04-03,16.52
2018-04-04,16.46
2018-04-05,16.305
2018-04-06,16.275
2018-04-09,16.34
2018-04-10,16.49
2018-04-11,16.565
2018-04-12,16.655
2018-04-13,16.505
2018-04-16,16.6
2018-04-17,16.625
2018-04-18,16.945
2018-04-19,17.195
2018-04-20,17.11
2018-04-23,16.935
2018-04-24,16.595
2018-04-25,16.565
2018-04-26,16.575
2018-04-27,16.53
2018-04-30,16.38
2018-05-01,16.25
2018-05-02,16.35
2018-05-03,16.465
2018-05-04,16.415
2018-05-07,0
2018-05-08,16.445
2018-05-09,16.44
2018-05-10,16.6
2018-05-11,16.76
2018-05-14,16.645
2018-05-15,16.41
2018-05-16,16.255
2018-05-17,16.385
2018-05-18,16.39
2018-05-21,16.34
2018-05-22,16.58
2018-05-23,16.53
2018-05-24,16.51
2018-05-25,16.67
2018-05-28,0
2018-05-29,16.475
2018-05-30,16.37
2018-05-31,16.55
2018-06-01,16.42
2018-06-04,16.44
2018-06-05,16.385
2018-06-06,16.545
2018-06-07,16.745
2018-06-08,16.72
2018-06-11,16.76
2018-06-12,16.855
2018-06-13,16.905
2018-06-14,17.125
2018-06-15,17.225
2018-06-18,16.605
2018-06-19,16.355
2018-06-20,16.285
2018-06-21,16.245
2018-06-22,16.425
2018-06-25,16.375
2018-06-26,16.225
2018-06-27,16.21
2018-06-28,16.11
2018-06-29,16.03
2018-07-02,15.98
2018-07-03,15.93
2018-07-04,16.045
2018-07-05,15.95
2018-07-06,15.995
2018-07-09,16.205
2018-07-10,15.93
2018-07-11,15.915
2018-07-12,15.84
2018-07-13,15.81
2018-07-16,15.81
2018-07-17,15.77
2018-07-18,15.44
2018-07-19,15.26
2018-07-20,15.37
2018-07-23,15.485
2018-07-24,15.51
2018-07-25,15.565
2018-07-26,15.535
2018-07-27,15.355
2018-07-30,15.49
2018-07-31,15.43
2018-08-01,15.475
2018-08-02,15.45
2018-08-03,15.36
2018-08-06,15.345
2018-08-07,15.465
2018-08-08,15.345
2018-08-09,15.48
2018-08-10,15.375
2018-08-13,15.185
2018-08-14,15.035
2018-08-15,14.825
2018-08-16,14.605
2018-08-17,14.66
2018-08-20,14.755
2018-08-21,14.785
2018-08-22,14.81
2018-08-23,14.625
2018-08-24,14.62
2018-08-27,0
2018-08-28,14.9
2018-08-29,14.69
2018-08-30,14.665
2018-08-31,14.655
2018-09-03,14.525
2018-09-04,14.25
2018-09-05,14.17
2018-09-06,14.265
2018-09-07,14.185
2018-09-10,14.215
2018-09-11,14.125
2018-09-12,14.155
2018-09-13,14.225
2018-09-14,14.215
2018-09-17,14.17
2018-09-18,14.21
2018-09-19,14.185
2018-09-20,14.23
2018-09-21,14.33
2018-09-24,14.315
2018-09-25,14.29
2018-09-26,14.475
2018-09-27,14.42
2018-09-28,14.305
2018-10-01,14.55
2018-10-02,14.505
2018-10-03,14.735
2018-10-04,14.63
2018-10-05,14.635
2018-10-08,14.465
2018-10-09,14.325
2018-10-10,14.375
2018-10-11,14.4
2018-10-12,14.6
2018-10-15,14.74
2018-10-16,14.755
2018-10-17,14.65
2018-10-18,14.515
2018-10-19,14.61
2018-10-22,14.63
2018-10-23,0
2018-10-24,14.745
2018-10-25,14.74
2018-10-26,14.69
2018-10-29,14.65
2018-10-30,14.425
2018-10-31,14.34
2018-11-01,14.45
2018-11-02,14.82
2018-11-05,14.735
2018-11-06,14.7
2018-11-07,14.67
2018-11-08,14.49
2018-11-09,14.34
2018-11-12,14.16
2018-11-13,14.02
2018-11-14,13.97
2018-11-15,14.13
2018-11-16,14.285
2018-11-19,14.36
2018-11-20,14.44
2018-11-21,14.42
2018-11-22,14.52
2018-11-23,14.255
2018-11-26,14.38
2018-11-27,14.275
2018-11-28,14.15
2018-11-29,14.265
2018-11-30,14.235
2018-12-03,14.385
2018-12-04,14.545
2018-12-05,14.48
2018-12-06,14.38
2018-12-07,14.485
2018-12-10,14.53
2018-12-11,14.64
2018-12-12,14.655
2018-12-13,14.68
2018-12-14,14.58
2018-12-17,14.6
2018-12-18,14.655
2018-12-19,14.645
2018-12-20,14.77
2018-12-21,14.69
2018-12-24,14.675
2018-12-25,0
2018-12-26,0
2018-12-27,15.055
2018-12-28,15.295
2018-12-31,0
2019-01-01,0
2019-01-02,15.44
2019-01-03,15.535
2019-01-04,15.705
2019-01-07,15.75
2019-01-08,15.64
2019-01-09,15.62
2019-01-10,15.705
2019-01-11,15.68
2019-01-14,15.615
2019-01-15,15.6
2019-01-16,15.54
2019-01-17,15.575
2019-01-18,15.47
2019-01-21,15.26
2019-01-22,15.26
2019-01-23,15.385
2019-01-24,15.3
2019-01-25,15.375
2019-01-28,15.685
2019-01-29,15.855
2019-01-30,15.915
2019-01-31,16.075
2019-02-01,16.01
2019-02-04,15.745
2019-02-05,15.865
2019-02-06,15.73
2019-02-07,15.71
2019-02-08,15.78
2019-02-11,15.705
2019-02-12,15.81
2019-02-13,15.695
2019-02-14,15.58
2019-02-15,15.675
2019-02-18,15.765
2019-02-19,15.78
2019-02-20,16.035
2019-02-21,15.91
2019-02-22,15.87
2019-02-25,15.955
2019-02-26,15.83
2019-02-27,15.86
2019-02-28,15.815
2019-03-01,15.56
2019-03-04,15.16
2019-03-05,15.11
2019-03-06,15.095
2019-03-07,15.075
2019-03-08,15.115
2019-03-11,0
2019-03-12,15.445
2019-03-13,15.52
2019-03-14,15.235
2019-03-15,15.355
2019-03-18,15.38
2019-03-19,15.41
2019-03-20,15.32
2019-03-21,15.54
2019-03-22,15.46
2019-03-25,15.525
2019-03-26,15.44
2019-03-27,15.4
2019-03-28,15.195
2019-03-29,15.1
2019-04-01,15.07
2019-04-02,15.025
2019-04-03,15.165
2019-04-04,15.085
2019-04-05,15.195
2019-04-08,15.14
2019-04-09,15.255
2019-04-10,15.245
2019-04-11,15.16
2019-04-12,15.065
2019-04-15,14.935
2019-04-16,14.945
2019-04-17,15
2019-04-18,14.955
2019-04-19,0
2019-04-22,0
2019-04-23,14.975
2019-04-24,14.805
2019-04-25,14.865
2019-04-26,15
2019-04-29,14.97
2019-04-30,14.985
2019-05-01,14.88
2019-05-02,14.675
2019-05-03,14.655
2019-05-06,0
2019-05-07,14.83
2019-05-08,14.93
2019-05-09,14.82
2019-05-10,14.795
2019-05-13,14.66
2019-05-14,14.755
2019-05-15,14.815
2019-05-16,14.795
2019-05-17,14.48
2019-05-20,14.415
2019-05-21,14.43
2019-05-22,14.435
2019-05-23,14.48
2019-05-24,14.55
2019-05-27,0
2019-05-28,14.48
2019-05-29,14.375
2019-05-30,14.4
2019-05-31,14.48
2019-06-03,14.705
2019-06-04,14.72
2019-06-05,14.84
2019-06-06,14.955
2019-06-07,14.91
2019-06-10,14.745
2019-06-11,14.695
2019-06-12,14.79
2019-06-13,14.795
2019-06-14,15.025
2019-06-17,14.78
2019-06-18,14.895
2019-06-19,14.945
2019-06-20,15.33
2019-06-21,15.29
2019-06-24,15.37
2019-06-25,15.4
2019-06-26,15.255
2019-06-27,15.25
2019-06-28,15.22
2019-07-01,15.26
