DATE,중국 차이신 PMI Actual,Consensus,Previous,Revised
2019-07-01,49.4,50,50.2,
2019-06-03,50.2,50,50.2,
2019-04-30,50.2,51,50.8,
2019-04-01,50.8,49.9,49.9,
2019-03-01,49.9,48.5,48.3,
2019-02-01,48.3,49.5,49.7,
2019-01-02,49.7,50.1,50.2,
2018-12-03,50.2,50,50.1,
2018-11-01,50.1,49.9,50,
2018-09-30,50,50.5,50.6,
2018-09-03,50.6,50.6,50.8,
2018-08-01,50.8,50.8,51,
2018-07-02,51,51,51.1,
2018-06-01,51.1,51,51.1,
2018-05-02,51.1,50.9,51,
2018-04-02,51,51.7,51.6,
2018-03-01,51.6,51.3,51.5,
2018-02-01,51.5,51.3,51.7,51.5
2018-01-02,51.7,50.6,50.8,
2017-12-01,50.8,50.9,51,
2017-11-01,51,51,51,
2017-09-30,51,51.5,51.6,
2017-09-01,51.6,50.9,51.1,
2017-08-01,51.1,50.4,50.4,
2017-07-03,50.4,49.5,49.6,
2017-06-01,49.6,50.1,50.3,
2017-05-02,50.3,51.2,51.7,
2017-03-01,51.7,50.8,51,
2017-02-03,51,51.8,51.9,
2017-01-03,51.9,50.7,50.9,
2017-01-01,,51.8,,
2016-12-01,50.9,50.8,51.2,
2016-11-01,51.2,50.2,50.1,
2016-09-30,50.1,50.1,50,
2016-09-01,50,50.1,50.6,
2016-08-01,50.6,48.7,48.6,
2016-07-01,48.6,49.1,49.2,
2016-06-01,49.2,49.3,49.4,
2016-05-03,49.4,49.9,49.7,
2016-04-01,49.7,48.2,48,
2016-03-01,48,48.3,48.4,
2016-02-01,48.4,48,48.2,
2016-01-04,48.2,49,48.6,
2015-12-01,48.6,48.3,48.3,
2015-11-02,48.3,47.5,47.2,
2015-10-01,47.2,47.2,47,
2015-09-23,47,47.5,47.3,
2015-09-01,47.3,47.2,47.1,
2015-08-21,47.1,47.7,47.8,
2015-08-03,47.8,,48.2,
2015-07-24,48.2,49.7,49.4,
2015-07-01,49.4,49.6,49.6,
2015-06-23,49.6,49.4,49.2,49.1
2015-06-01,49.2,49.2,49.1,
2015-05-21,49.1,49.3,48.9,
2015-05-04,48.9,,49.2,
2015-04-23,49.2,49.6,49.6,
2015-04-01,49.6,,49.2,
2015-03-24,49.2,50.5,50.7,
2015-03-02,50.7,50.1,50.1,
2015-02-25,50.1,49.5,49.7,
2015-02-02,49.7,,49.8,
2015-01-23,49.8,49.6,49.6,
2014-12-31,49.6,49.5,49.5,
2014-12-16,49.5,50,50,
2014-12-01,50,,50,
2014-11-20,50,50.3,50.4,
2014-11-03,50.4,,50.4,
2014-10-23,50.4,50.3,50.2,
2014-09-30,50.2,,50.5,
2014-09-23,50.5,50,50.2,
2014-09-01,50.2,,50.3,
2014-08-21,50.3,51.5,51.7,
2014-08-01,51.7,52,52,
2014-07-24,52,51,50.7,
2014-07-01,50.7,,50.8,
2014-06-23,50.8,49.7,49.4,
2014-06-03,49.4,49.7,49.7,
2014-05-22,49.7,48.1,48.1,
2014-05-05,48.1,48.4,48.3,
2014-04-23,48.3,48.4,48,
2014-04-01,48,,48.1,
2014-03-24,48.1,48.7,48.5,
2014-03-03,48.5,48.5,48.3,
2014-02-20,48.3,49.4,49.5,
2014-01-30,49.5,49.6,49.6,
2014-01-23,49.6,50.6,50.5,
2014-01-02,50.5,,50.5,
2013-12-16,50.5,,50.8,
2013-12-02,50.8,50.5,50.4,
2013-11-21,50.4,50.9,50.9,
2013-11-01,50.9,50.7,50.9,
2013-10-24,50.9,50.5,50.2,
2013-09-30,50.2,51.2,51.2,
2013-09-23,51.2,,50.1,
2013-09-02,50.1,50.2,50.1,
2013-08-22,50.1,48.3,47.7,
2013-08-01,47.7,47.7,47.7,
2013-07-24,47.7,48.5,48.2,
2013-07-01,48.2,48.3,48.3,
2013-06-20,48.3,49.4,49.2,
2013-06-03,49.2,49.6,49.6,
2013-05-23,49.6,50.5,50.4,
2013-05-02,50.4,50.6,50.5,
2013-04-23,50.5,51.4,51.6,
2013-04-01,51.6,51.5,51.7,
2013-03-21,51.7,51.2,50.4,
2013-03-01,50.4,,52.3,
2013-02-01,52.3,52.1,51.9,51.5
2013-01-24,51.9,,51.9,
2012-12-31,51.9,,50.9,
2012-12-14,50.9,,50.5,
2012-12-03,50.5,50.4,50.4,49.5
2012-11-22,50.4,,50.4,
2012-11-01,50.4,,49.1,
2012-10-24,49.1,,47.9,
2012-09-29,47.9,,47.8,
2012-09-20,47.8,,47.6,
2012-09-03,47.6,,47.8,
2012-08-23,47.8,,49.3,
2012-08-01,49.3,,49.5,
2012-07-24,49.5,,48.2,
2012-07-02,48.2,,48.1,48.4
2012-06-21,48.1,,48.1,
2012-06-01,48.1,,48.7,
2012-05-24,48.7,,49.3,
2012-05-02,49.3,,49.1,49.1
2012-04-23,49.1,,48.3,
2012-04-01,48.3,,48.1,49.6
2012-03-22,48.1,,48.1,49.7
2012-03-01,48.1,,49.7,
2012-02-22,49.7,,48.8,
2012-02-01,48.8,,48.8,
2012-01-20,48.8,,48.7,
2011-12-30,48.7,,49,
2011-12-15,49,,47.7,
2011-12-01,47.7,,48,
2011-11-23,48,,51,
2011-11-01,51,,51.1,
2011-10-24,51.1,,49.4,
2011-09-22,49.4,,49.9,49.8
2011-09-01,49.9,,49.8,
2011-08-23,49.8,,49.3,
2011-08-01,49.3,,48.9,50.1
2011-07-21,48.9,,48.9,
2011-07-01,48.9,,50.1,51.6
2011-06-23,50.1,,50.1,51.1
2011-06-01,50.1,,51.1,
2011-05-23,51.1,,51.8,
2011-04-29,51.8,,51.8,
2011-04-19,51.8,,51.8,
2011-04-01,51.8,52.4,52.5,51.7
2011-03-24,52.5,,52.5,
2011-03-01,52.5,52.2,51.5,
2011-02-21,51.5,,54.5,
2011-02-01,54.5,,54.4,
2010-12-30,54.4,,55.3,
2010-12-01,55.3,55.4,54.8,
2010-11-01,54.8,,55.2,
2010-10-05,55.2,,51.9,57
2010-09-01,51.9,,49.4,
2010-08-02,49.4,,50.4,
2010-07-01,50.4,,52.7,
2010-06-01,52.7,,55.2,
2010-05-01,55.2,,57.6,
2010-04-01,57.6,,55.8,
2010-03-01,55.8,,57.4,
2010-02-01,57.4,,,
