DATE,USSLIND
1982-01-01,-0.88
1982-02-01,-0.38
1982-03-01,-0.15
1982-04-01,-0.12
1982-05-01,-0.06
1982-06-01,-0.05
1982-07-01,-0.09
1982-08-01,-0.26
1982-09-01,-0.25
1982-10-01,-0.05
1982-11-01,0.41
1982-12-01,0.87
1983-01-01,1.43
1983-02-01,1.65
1983-03-01,1.76
1983-04-01,1.84
1983-05-01,2.07
1983-06-01,2.57
1983-07-01,2.99
1983-08-01,2.55
1983-09-01,2.80
1983-10-01,3.14
1983-11-01,3.42
1983-12-01,2.99
1984-01-01,3.09
1984-02-01,3.30
1984-03-01,3.03
1984-04-01,2.69
1984-05-01,2.51
1984-06-01,2.45
1984-07-01,2.20
1984-08-01,1.92
1984-09-01,2.02
1984-10-01,1.94
1984-11-01,2.00
1984-12-01,1.88
1985-01-01,2.19
1985-02-01,1.97
1985-03-01,2.03
1985-04-01,1.98
1985-05-01,2.12
1985-06-01,1.93
1985-07-01,1.88
1985-08-01,2.02
1985-09-01,2.03
1985-10-01,2.08
1985-11-01,1.88
1985-12-01,1.97
1986-01-01,2.05
1986-02-01,1.55
1986-03-01,1.33
1986-04-01,1.48
1986-05-01,1.52
1986-06-01,1.46
1986-07-01,1.57
1986-08-01,1.52
1986-09-01,1.74
1986-10-01,1.69
1986-11-01,1.73
1986-12-01,2.27
1987-01-01,1.74
1987-02-01,1.91
1987-03-01,1.85
1987-04-01,2.04
1987-05-01,2.16
1987-06-01,1.92
1987-07-01,2.16
1987-08-01,2.00
1987-09-01,2.03
1987-10-01,2.09
1987-11-01,2.14
1987-12-01,2.04
1988-01-01,1.41
1988-02-01,2.03
1988-03-01,2.16
1988-04-01,2.30
1988-05-01,1.98
1988-06-01,2.25
1988-07-01,2.08
1988-08-01,1.83
1988-09-01,1.61
1988-10-01,2.02
1988-11-01,2.12
1988-12-01,1.96
1989-01-01,1.94
1989-02-01,1.80
1989-03-01,1.70
1989-04-01,1.55
1989-05-01,1.16
1989-06-01,0.91
1989-07-01,0.79
1989-08-01,1.08
1989-09-01,1.09
1989-10-01,1.01
1989-11-01,1.21
1989-12-01,1.23
1990-01-01,1.68
1990-02-01,1.43
1990-03-01,1.67
1990-04-01,1.32
1990-05-01,1.11
1990-06-01,1.06
1990-07-01,0.64
1990-08-01,0.41
1990-09-01,-0.12
1990-10-01,-0.10
1990-11-01,-0.31
1990-12-01,-0.33
1991-01-01,-0.24
1991-02-01,-0.33
1991-03-01,-0.34
1991-04-01,0.03
1991-05-01,0.44
1991-06-01,0.83
1991-07-01,1.20
1991-08-01,0.88
1991-09-01,0.91
1991-10-01,0.80
1991-11-01,0.69
1991-12-01,0.70
1992-01-01,0.79
1992-02-01,0.97
1992-03-01,1.12
1992-04-01,1.22
1992-05-01,1.34
1992-06-01,1.30
1992-07-01,1.17
1992-08-01,1.27
1992-09-01,1.43
1992-10-01,1.76
1992-11-01,1.76
1992-12-01,2.25
1993-01-01,1.89
1993-02-01,2.20
1993-03-01,1.74
1993-04-01,1.79
1993-05-01,1.57
1993-06-01,1.68
1993-07-01,1.95
1993-08-01,2.01
1993-09-01,2.06
1993-10-01,1.78
1993-11-01,2.11
1993-12-01,2.31
1994-01-01,1.99
1994-02-01,2.00
1994-03-01,1.99
1994-04-01,2.13
1994-05-01,2.10
1994-06-01,2.21
1994-07-01,2.18
1994-08-01,2.42
1994-09-01,2.11
1994-10-01,2.12
1994-11-01,2.19
1994-12-01,2.15
1995-01-01,2.04
1995-02-01,1.68
1995-03-01,1.58
1995-04-01,1.19
1995-05-01,1.03
1995-06-01,1.14
1995-07-01,1.12
1995-08-01,1.61
1995-09-01,1.47
1995-10-01,1.71
1995-11-01,1.43
1995-12-01,1.42
1996-01-01,1.43
1996-02-01,1.41
1996-03-01,1.37
1996-04-01,1.62
1996-05-01,1.75
1996-06-01,2.06
1996-07-01,1.97
1996-08-01,1.97
1996-09-01,1.72
1996-10-01,1.63
1996-11-01,1.48
1996-12-01,1.44
1997-01-01,1.60
1997-02-01,1.82
1997-03-01,2.02
1997-04-01,1.90
1997-05-01,2.03
1997-06-01,1.93
1997-07-01,2.03
1997-08-01,1.59
1997-09-01,1.92
1997-10-01,2.00
1997-11-01,2.05
1997-12-01,2.08
1998-01-01,1.86
1998-02-01,1.85
1998-03-01,1.64
1998-04-01,1.88
1998-05-01,1.97
1998-06-01,1.65
1998-07-01,1.63
1998-08-01,1.66
1998-09-01,1.94
1998-10-01,1.67
1998-11-01,1.71
1998-12-01,1.84
1999-01-01,1.62
1999-02-01,1.84
1999-03-01,1.84
1999-04-01,1.80
1999-05-01,1.67
1999-06-01,1.67
1999-07-01,1.85
1999-08-01,1.73
1999-09-01,1.61
1999-10-01,1.70
1999-11-01,1.96
1999-12-01,1.90
2000-01-01,1.61
2000-02-01,1.46
2000-03-01,1.87
2000-04-01,2.14
2000-05-01,1.87
2000-06-01,1.26
2000-07-01,0.96
2000-08-01,1.00
2000-09-01,1.02
2000-10-01,1.15
2000-11-01,0.93
2000-12-01,0.75
2001-01-01,0.88
2001-02-01,0.59
2001-03-01,0.38
2001-04-01,0.19
2001-05-01,0.38
2001-06-01,0.53
2001-07-01,0.22
2001-08-01,0.33
2001-09-01,-0.15
2001-10-01,-0.40
2001-11-01,-0.48
2001-12-01,-0.09
2002-01-01,0.50
2002-02-01,0.70
2002-03-01,0.48
2002-04-01,0.56
2002-05-01,0.69
2002-06-01,0.96
2002-07-01,1.12
2002-08-01,0.91
2002-09-01,0.96
2002-10-01,0.86
2002-11-01,0.70
2002-12-01,0.63
2003-01-01,0.89
2003-02-01,0.66
2003-03-01,0.47
2003-04-01,0.26
2003-05-01,0.45
2003-06-01,0.53
2003-07-01,0.91
2003-08-01,1.12
2003-09-01,1.49
2003-10-01,1.56
2003-11-01,1.54
2003-12-01,1.80
2004-01-01,1.53
2004-02-01,1.49
2004-03-01,1.61
2004-04-01,1.64
2004-05-01,1.79
2004-06-01,1.52
2004-07-01,1.56
2004-08-01,1.48
2004-09-01,1.40
2004-10-01,1.40
2004-11-01,1.51
2004-12-01,1.38
2005-01-01,1.16
2005-02-01,1.54
2005-03-01,1.40
2005-04-01,1.66
2005-05-01,1.32
2005-06-01,1.68
2005-07-01,1.69
2005-08-01,1.79
2005-09-01,1.27
2005-10-01,1.33
2005-11-01,1.49
2005-12-01,1.71
2006-01-01,1.85
2006-02-01,1.62
2006-03-01,1.57
2006-04-01,1.40
2006-05-01,1.05
2006-06-01,1.12
2006-07-01,0.72
2006-08-01,1.02
2006-09-01,0.90
2006-10-01,1.10
2006-11-01,0.83
2006-12-01,1.00
2007-01-01,1.27
2007-02-01,1.09
2007-03-01,1.36
2007-04-01,1.08
2007-05-01,1.26
2007-06-01,0.76
2007-07-01,0.56
2007-08-01,0.59
2007-09-01,0.46
2007-10-01,0.65
2007-11-01,0.45
2007-12-01,0.27
2008-01-01,0.44
2008-02-01,0.35
2008-03-01,0.22
2008-04-01,0.22
2008-05-01,0.03
2008-06-01,-0.10
2008-07-01,-0.41
2008-08-01,-0.81
2008-09-01,-0.63
2008-10-01,-1.19
2008-11-01,-1.77
2008-12-01,-1.91
2009-01-01,-2.36
2009-02-01,-2.35
2009-03-01,-2.71
2009-04-01,-2.25
2009-05-01,-1.34
2009-06-01,-0.81
2009-07-01,-0.26
2009-08-01,-0.10
2009-09-01,0.26
2009-10-01,0.12
2009-11-01,0.41
2009-12-01,0.59
2010-01-01,0.48
2010-02-01,0.69
2010-03-01,1.00
2010-04-01,1.06
2010-05-01,1.34
2010-06-01,1.39
2010-07-01,1.36
2010-08-01,0.86
2010-09-01,0.50
2010-10-01,0.77
2010-11-01,1.37
2010-12-01,1.50
2011-01-01,1.43
2011-02-01,1.52
2011-03-01,1.66
2011-04-01,1.52
2011-05-01,1.28
2011-06-01,1.21
2011-07-01,1.30
2011-08-01,1.60
2011-09-01,1.35
2011-10-01,1.53
2011-11-01,1.78
2011-12-01,1.73
2012-01-01,1.92
2012-02-01,1.88
2012-03-01,1.90
2012-04-01,1.77
2012-05-01,1.69
2012-06-01,1.46
2012-07-01,1.43
2012-08-01,1.40
2012-09-01,1.61
2012-10-01,1.84
2012-11-01,1.40
2012-12-01,1.59
2013-01-01,1.67
2013-02-01,2.00
2013-03-01,1.78
2013-04-01,1.70
2013-05-01,1.66
2013-06-01,1.55
2013-07-01,1.53
2013-08-01,1.67
2013-09-01,1.75
2013-10-01,1.40
2013-11-01,1.58
2013-12-01,1.52
2014-01-01,1.85
2014-02-01,1.44
2014-03-01,1.52
2014-04-01,1.84
2014-05-01,1.91
2014-06-01,2.01
2014-07-01,1.94
2014-08-01,1.74
2014-09-01,1.95
2014-10-01,2.06
2014-11-01,1.77
2014-12-01,2.04
2015-01-01,1.68
2015-02-01,1.69
2015-03-01,1.72
2015-04-01,1.77
2015-05-01,1.94
2015-06-01,1.75
2015-07-01,1.90
2015-08-01,1.83
2015-09-01,1.81
2015-10-01,1.63
2015-11-01,1.58
2015-12-01,1.66
2016-01-01,1.40
2016-02-01,1.69
2016-03-01,1.59
2016-04-01,1.59
2016-05-01,1.44
2016-06-01,1.47
2016-07-01,1.53
2016-08-01,1.56
2016-09-01,1.35
2016-10-01,1.25
2016-11-01,1.69
2016-12-01,1.65
2017-01-01,1.76
2017-02-01,1.52
2017-03-01,1.69
2017-04-01,1.60
2017-05-01,1.43
2017-06-01,1.50
2017-07-01,1.42
2017-08-01,1.39
2017-09-01,1.18
2017-10-01,1.60
2017-11-01,1.43
2017-12-01,1.53
2018-01-01,1.56
2018-02-01,1.60
2018-03-01,1.62
2018-04-01,1.60
2018-05-01,1.58
2018-06-01,1.52
2018-07-01,1.34
2018-08-01,1.52
2018-09-01,1.38
2018-10-01,1.47
2018-11-01,1.12
2018-12-01,1.14
2019-01-01,1.11
2019-02-01,1.18
2019-03-01,1.26
2019-04-01,1.36
2019-05-01,1.28
