,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4DN,ISM_PMI_Actual,경상수지,상품수지,BAA,UNRATE,T10Y2YM,NEWORDER,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,RMFSL,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,UMCSENT,서울아파트매매가격지수,AMBNS,자가주거비포함지수,자가주거비,수출물가지수,EXJPUS,EXKOUS,EXCHUS,XTEXVA01CNM667S,정책금리,통화량,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,한국실업률,IR3TCD01KRM156N,환율평균
Open,1.0,0.9843513085194179,0.9588118246885513,0.9525452548968446,0.9525452548968446,-0.11205554011965148,-0.376582744408425,-0.1121735826523924,0.7055772480806449,0.3626291777405803,0.4962992003784267,-0.8146672521871704,-0.5067246002438026,-0.3976668972913748,0.6159890079161455,0.530381048155994,0.7772103708839533,-0.13027158522411864,0.7286498609949973,0.406997387084534,-0.5055262107606698,0.5144763236500612,0.6902649283700578,0.6241634979388299,-0.5854661187624832,0.786839193906222,0.5288653660032445,0.3409876423765238,0.009142000331548316,0.7374785454714057,0.7090993508235286,0.6917736493452392,0.37569095938292485,0.6622756276372486,0.7556732547609226,0.7532831890159731,-0.5979567461268642,0.2535583826944377,-0.39630150486864973,-0.3492661283674615,0.792816697501781,-0.3959419154834771,0.7422955455501706,0.6454280681256266,0.6870954739390229,0.8372892312198587,0.7517093531014925,0.21501075137817538,0.1104979885405644,-0.5012607711206873,-0.3975173950933065
High,0.9843513085194179,1.0,0.9684003013233302,0.9790789162849503,0.9790789162849503,-0.12697030542650292,-0.24230550094903924,-0.19689998323165378,0.7153334308297717,0.3293447135623796,0.4829185329868544,-0.8047551168132886,-0.5006906495238104,-0.4130908454177182,0.6039489941161696,0.5326674425600777,0.7703873723483889,-0.1237211594629571,0.7179122995583077,0.4090615620077959,-0.4993738629133245,0.5081047018264623,0.67848228797707,0.597117389808591,-0.5788602851118718,0.7726198436153411,0.5254839842755691,0.3544248820963211,0.03194332119002632,0.7269882014628404,0.6954467408158349,0.6902215167388244,0.3904514255046445,0.645581905955842,0.7426878643376241,0.739986804830716,-0.5930986739464861,0.24267775221572402,-0.3947305705291686,-0.31798396364581333,0.7694566928338642,-0.3967758240155515,0.7352483757956687,0.671398628355863,0.6697683518426614,0.8257820211454661,0.7387699439354153,0.23279308854116018,0.12412877195296068,-0.5026250894606858,-0.3956215182176781
Low,0.9588118246885513,0.9684003013233302,1.0,0.9858624684918044,0.9858624684918044,-0.11877551906354818,-0.2656054146470494,-0.3022865656168059,0.7244334454113324,0.3551235808804311,0.5257816061782337,-0.8543453980465826,-0.48251229149306335,-0.3802962323394429,0.560736981282678,0.5195497802674592,0.7821818340408034,-0.17992131754080265,0.6918052870747838,0.4238382058606598,-0.4791091206159767,0.46042529784722164,0.6563215331874294,0.5863258209910134,-0.6332005750437566,0.7899836917362021,0.5266002653806823,0.34702582304324864,-0.028963468335768815,0.7597273442543391,0.715948434677846,0.7289988837312799,0.3470234816538348,0.6952720548385689,0.7720913957569714,0.7705670490526972,-0.6398311331290268,0.2587299271243292,-0.38900324849049306,-0.35621460534655797,0.7827991349879596,-0.4639434134128332,0.7573826452300122,0.7165656602566184,0.640735283194263,0.8454462482925245,0.7674577408229292,0.26451312603390476,0.16185740016788266,-0.5773758565323819,-0.3900148832541737
Close,0.9525452548968446,0.9790789162849503,0.9858624684918044,1.0,1.0,-0.1430729559099123,-0.19712246007930007,-0.3118617820649072,0.7179242185383826,0.3358741889046479,0.50656581704989,-0.831740488179044,-0.4915188168110826,-0.3994276885218909,0.5780291285743485,0.5228206046254996,0.7668974374729047,-0.15132107783322948,0.7041263377153697,0.41290837871890035,-0.4895072307671624,0.4863405043777373,0.6657938471550006,0.5727898856909489,-0.6135838875278458,0.7689147426764322,0.5332485144359609,0.36161845594128,0.010654534680423721,0.7499292681579394,0.7124376753995088,0.7146685985823302,0.34360278396146465,0.6683375875143194,0.7492092212148149,0.7492369513758187,-0.628392750206451,0.255169931434524,-0.4010738069640726,-0.32636591010232385,0.7651045180664047,-0.427980831265981,0.7362749994491675,0.7042675460808004,0.6364050653559666,0.8304663069627629,0.744283104416231,0.24785827548735248,0.1508501433882706,-0.5429550034458515,-0.4017995831423661
Adj Close,0.9525452548968446,0.9790789162849503,0.9858624684918044,1.0,1.0,-0.1430729559099123,-0.19712246007930007,-0.3118617820649072,0.7179242185383826,0.3358741889046479,0.50656581704989,-0.831740488179044,-0.4915188168110826,-0.3994276885218909,0.5780291285743485,0.5228206046254996,0.7668974374729047,-0.15132107783322948,0.7041263377153697,0.41290837871890035,-0.4895072307671624,0.4863405043777373,0.6657938471550006,0.5727898856909489,-0.6135838875278458,0.7689147426764322,0.5332485144359609,0.36161845594128,0.010654534680423721,0.7499292681579394,0.7124376753995088,0.7146685985823302,0.34360278396146465,0.6683375875143194,0.7492092212148149,0.7492369513758187,-0.628392750206451,0.255169931434524,-0.4010738069640726,-0.32636591010232385,0.7651045180664047,-0.427980831265981,0.7362749994491675,0.7042675460808004,0.6364050653559666,0.8304663069627629,0.744283104416231,0.24785827548735248,0.1508501433882706,-0.5429550034458515,-0.4017995831423661
Volume,-0.11205554011965148,-0.12697030542650292,-0.11877551906354818,-0.1430729559099123,-0.1430729559099123,1.0,-0.039716059869477405,0.118195136737759,-0.07151187656523891,-0.18943666410710153,-0.18731925774073002,0.139154297322535,-0.0068255921166295655,-0.009019500831644779,0.028891377267309885,-0.015324506066501868,-0.09024825390006029,0.13505932345555338,-0.023782604955929803,-0.08338582176667812,-0.007176772508897759,0.018209198357309615,-0.024066671413950417,0.032425568293921805,0.1904546563996225,-0.08270714527882175,-0.042307479994890165,-0.03344727000575548,0.06467274539818227,-0.1817607649768991,-0.05231733136159797,-0.12893654104629457,0.037566564451503734,-0.15859938805495605,-0.11685407955903915,-0.11520280490162921,0.12447794600257803,0.04272675962510932,-0.04290617957927024,0.05307420300470258,-0.0855086938173428,0.19883841622622844,-0.10805809501758146,-0.14197559404122706,0.03446660953692915,-0.12491495218364405,-0.11708107010162516,-0.07581034642892252,-0.06548571579287171,0.19457444774835167,-0.042399751038451845
HM4UP,-0.376582744408425,-0.24230550094903924,-0.2656054146470494,-0.19712246007930007,-0.19712246007930007,-0.039716059869477405,1.0,-0.3111555686714855,-0.14974740123335617,-0.3179914223092099,-0.2763171768580318,0.33913712632537496,0.18805406220081652,0.04529284789579243,-0.2113769528826569,-0.15457468361008733,-0.29600970262194876,0.09829865707504513,-0.25384643001430407,-0.15014131881169282,0.18292773439529633,-0.13955784418804806,-0.24328182846018098,-0.32283459603815634,0.24416501995520679,-0.3360400807477797,-0.19297127531896613,-0.05382299307021981,0.1375274767591348,-0.2859501893846634,-0.31298315602170984,-0.23944943006629843,-0.02377543246301194,-0.3261859667677671,-0.33215362153029987,-0.3334493005260842,0.2417139313874685,-0.16097669011712296,0.11904889690663577,0.2684272111058421,-0.3689688043169416,0.1644174078411477,-0.2898970799947058,-0.11103454448880781,-0.28760258853526605,-0.35423859244809397,-0.3302405682229611,-0.04197687233294023,-0.03492221482567283,0.20293104330030484,0.12075086306258022
LM4DN,-0.1121735826523924,-0.19689998323165378,-0.3022865656168059,-0.3118617820649072,-0.3118617820649072,0.118195136737759,-0.3111555686714855,1.0,-0.29138336787662433,-0.012661090074242116,-0.14554777414813294,0.28641409546230334,0.058577400531375425,0.05619136672604281,-0.01919080381189359,-0.1124840690296894,-0.14834426141567278,0.10206501954071018,-0.09068709704155373,-0.10198058418851845,0.06964623875894739,-0.03866805212833578,-0.08950366221746493,0.0009683624920742181,0.2487974574317798,-0.12906375543632573,-0.14105243182974664,-0.14088059247570286,0.009229574403547389,-0.25995529087850205,-0.17540851648637135,-0.22249244129838472,0.00016371970866732298,-0.17366720195214697,-0.15184191845416578,-0.15756864697983972,0.2305180001605842,-0.057938345691483796,0.14721105230244563,-0.03088803576581267,-0.09941908033259636,0.2032785488879532,-0.1546774097124912,-0.3880104175781544,-0.04442048233056264,-0.20339958367244576,-0.148039343281694,-0.19092736751751047,-0.11563228564465475,0.23776849412935178,0.14809692591580584
ISM_PMI_Actual,0.7055772480806449,0.7153334308297717,0.7244334454113324,0.7179242185383826,0.7179242185383826,-0.07151187656523891,-0.14974740123335617,-0.29138336787662433,1.0,0.06457816444996473,0.1896013573605406,-0.613569556161179,-0.17771296366429779,-0.10826796424125693,0.44882676317400566,0.2788333087037948,0.4342271891328095,-0.2071182631997992,0.5047618960218624,0.11514358164077468,-0.18337477621584292,0.42436977424477496,0.4407094168243295,0.4882327022351228,-0.5474643153914542,0.44930312711668285,0.2798657841947194,0.1713032811398697,0.0644023014436344,0.723140403914051,0.39545566504453433,0.48995378009575996,0.2794445736112407,0.3749502914541469,0.4260285043357253,0.38948373492023314,-0.35483600407054794,0.08228822224543547,-0.48556273750056067,-0.14792867859930675,0.5040851296724571,-0.23712482761338885,0.41996358982655885,0.8191499877676112,0.5984667880865141,0.6271291726293107,0.43339124160362713,0.22035450310958202,0.10578500484715157,-0.30562931811594196,-0.4867867914454965
경상수지,0.3626291777405803,0.3293447135623796,0.3551235808804311,0.3358741889046479,0.3358741889046479,-0.18943666410710153,-0.3179914223092099,-0.012661090074242116,0.06457816444996473,1.0,0.9074049889391538,-0.5187508396940939,-0.33643206027513983,-0.21633460758360692,0.10779653041097163,0.3500105691571667,0.5798075613659499,-0.2516589964872147,0.2705369080397382,0.5253855039034692,-0.3559768954816743,0.04055411878132446,0.3459992625370516,0.22049248867002846,-0.4665998850251121,0.5999365446696745,0.3312578361209387,0.11200249007583664,-0.31113389976926953,0.34207494812581696,0.5088908956279923,0.5106133570870781,0.048109038267286,0.7052631196794182,0.6422100798916939,0.6698621392822002,-0.4642635418681618,0.33884528334468467,0.19947473469341928,-0.44339049715451423,0.5677090047672845,-0.5978401303960811,0.6070188732115899,0.20217779268708885,0.13083037424189797,0.5158001892348069,0.6302089841749724,0.16535133078566902,-0.09654007901361412,-0.6242828376696583,0.19784587763539516
상품수지,0.4962992003784267,0.4829185329868544,0.5257816061782337,0.50656581704989,0.50656581704989,-0.18731925774073002,-0.2763171768580318,-0.14554777414813294,0.1896013573605406,0.9074049889391538,1.0,-0.595356986868296,-0.48609501060619975,-0.3626511889477462,0.11104172914681536,0.5509708538206057,0.7309961391381006,-0.15656789657649958,0.34272244169492794,0.6962448795653937,-0.5059180063538037,0.06012249763718653,0.4324113424385346,0.1654454704791528,-0.4546051552800065,0.7083984662387238,0.4912918499544462,0.3020054673353516,-0.19887403788200061,0.38562793128858097,0.6123817605392478,0.6856591305112613,0.2303877195213825,0.7580670625442378,0.7296273322537242,0.7757191150407527,-0.6218919047114849,0.4755644875814545,0.1298541434309879,-0.3328959769723681,0.6080004860382907,-0.7100760976889211,0.7469780309367109,0.3553127191807036,0.1108185037739521,0.5884086286384032,0.7113125742883201,0.3455865355309409,0.07089438861342535,-0.7455076223067598,0.1287354183125086
BAA,-0.8146672521871704,-0.8047551168132886,-0.8543453980465826,-0.831740488179044,-0.831740488179044,0.139154297322535,0.33913712632537496,0.28641409546230334,-0.613569556161179,-0.5187508396940939,-0.595356986868296,1.0,0.36740832280085134,0.32257334172410973,-0.5184569805374483,-0.3612306776005037,-0.7498714081558098,0.37625473891402056,-0.62469559957973,-0.405053248526257,0.36401446770850787,-0.38317161227188157,-0.5917117512715696,-0.606763705049275,0.8242293052623358,-0.8004173928691525,-0.46350495511808976,-0.23052554774781897,0.22878310169675226,-0.8753200129304294,-0.7312281927600628,-0.7085754084589455,-0.14527885507310545,-0.8063346010742057,-0.8301857446299793,-0.8199713549045345,0.6613124553040616,-0.1586451267038683,0.28476082834309685,0.5169582273770916,-0.8360074445746005,0.5493743362681494,-0.7541835792459832,-0.6432400889545684,-0.6263135637200835,-0.8993624284813658,-0.8279135259400763,-0.1806172198540433,-0.09711182310448242,0.6606514514042516,0.28724321869584074
UNRATE,-0.5067246002438026,-0.5006906495238104,-0.48251229149306335,-0.4915188168110826,-0.4915188168110826,-0.0068255921166295655,0.18805406220081652,0.058577400531375425,-0.17771296366429779,-0.33643206027513983,-0.48609501060619975,0.36740832280085134,1.0,0.8364663431764332,-0.5223141544218332,-0.9242967920887257,-0.6803687770970159,-0.6331189129863763,-0.745515640894417,-0.6933291027743766,0.9891099137094631,-0.6235184316224248,-0.86249995298342,-0.09127872904329129,-0.04142026973367145,-0.554272105840961,-0.930433194969509,-0.8663844165278125,-0.5370050386387265,-0.22905816413328953,-0.833004387467219,-0.7461229832877916,-0.28326859326441023,-0.3611807293372387,-0.4421685959721703,-0.5778831573191123,0.7597359069771612,-0.832513245938923,0.365819258835949,-0.1990710755259653,-0.44871969840622916,0.11927075032494382,-0.5579183474752256,-0.2138970061697097,-0.1101640041913324,-0.29524414156162665,-0.40036594127216313,-0.16994479608900195,-0.09940762401421738,0.18918122119811023,0.36564602303176136
T10Y2YM,-0.3976668972913748,-0.4130908454177182,-0.3802962323394429,-0.3994276885218909,-0.3994276885218909,-0.009019500831644779,0.04529284789579243,0.05619136672604281,-0.10826796424125693,-0.21633460758360692,-0.3626511889477462,0.32257334172410973,0.8364663431764332,1.0,-0.44979327888113807,-0.8099466740578332,-0.552959429148577,-0.6262846898095484,-0.6150383496480256,-0.6242753719894433,0.832101853144381,-0.5350694846674829,-0.7098361745253193,0.037237169502965045,-0.10864062226944073,-0.4098409943357671,-0.8155746746825404,-0.8575310575598503,-0.6586845137647354,-0.14150316881664948,-0.6595575047435492,-0.6398623528422109,-0.36049299828618686,-0.1452010118197663,-0.30354642359884315,-0.42032971941289665,0.638357261292048,-0.603131625524018,0.3083817945291757,-0.37232186874648754,-0.28843709207510193,0.041024272016666155,-0.4395241484529359,-0.11897272580221033,-0.013803954050490543,-0.1719564340422258,-0.26828700714578985,-0.14009714932510348,-0.05965170029532055,0.10773878007327008,0.30741396719360603
NEWORDER,0.6159890079161455,0.6039489941161696,0.560736981282678,0.5780291285743485,0.5780291285743485,0.028891377267309885,-0.2113769528826569,-0.01919080381189359,0.44882676317400566,0.10779653041097163,0.11104172914681536,-0.5184569805374483,-0.5223141544218332,-0.44979327888113807,1.0,0.35156099954998066,0.41001708856316676,0.19823905672219191,0.8820697769664624,0.021409758671469086,-0.5179569837095246,0.8975655013443327,0.8239213715387979,0.7099153798030505,-0.3018620067362783,0.4438116650831263,0.5253777278894459,0.3608764273462899,0.3089496798065533,0.5807480796879068,0.639301564640881,0.3707611583397768,-0.0008472900410787927,0.2705756099697489,0.3692467035326954,0.38300130984013836,-0.36428508348142996,0.1988555072088613,-0.6380788631737722,-0.22902361840850333,0.5654593042905414,0.24458985689460405,0.303072736739223,0.24843358018343023,0.743592612155812,0.4793567995123962,0.36440193635009394,-0.32116531630254547,-0.19968372305905482,0.11884862956430824,-0.638608673216843
CSUSHPINSA,0.530381048155994,0.5326674425600777,0.5195497802674592,0.5228206046254996,0.5228206046254996,-0.015324506066501868,-0.15457468361008733,-0.1124840690296894,0.2788333087037948,0.3500105691571667,0.5509708538206057,-0.3612306776005037,-0.9242967920887257,-0.8099466740578332,0.35156099954998066,1.0,0.7565279787606113,0.5495848575068341,0.6291339731130055,0.8056427939300032,-0.9163616096148056,0.4283363162220832,0.7520948481727399,0.019791736583749983,0.07282897679138055,0.6152708061612183,0.8605522912231622,0.8509057782273592,0.5014304868591183,0.17276184308724643,0.7334113123157112,0.785340109028697,0.5216952413783761,0.38667375768564066,0.49642613545567876,0.6158304085930627,-0.7337215223885336,0.8013446293944778,-0.24280293598189134,0.26321663804864887,0.4344139630385549,-0.31852578491737554,0.6627204206867637,0.3467230027247415,0.05628902730360984,0.3314974156460994,0.458486752446294,0.40282862049724655,0.2060013887831388,-0.3605773844016141,-0.24230027600814572
PCE,0.7772103708839533,0.7703873723483889,0.7821818340408034,0.7668974374729047,0.7668974374729047,-0.09024825390006029,-0.29600970262194876,-0.14834426141567278,0.4342271891328095,0.5798075613659499,0.7309961391381006,-0.7498714081558098,-0.6803687770970159,-0.552959429148577,0.41001708856316676,0.7565279787606113,1.0,-0.06878897552430728,0.6315068037923859,0.8317717128517436,-0.6706050001269057,0.2877245117217631,0.6915594541636605,0.4493610441496113,-0.4384019971076584,0.9744296264496248,0.6211474229016867,0.4440705886816373,-0.0892244199245709,0.5263770152265106,0.7629685436173929,0.8303872984430996,0.5956218389119367,0.8338584665628743,0.936750334141016,0.9665639503073219,-0.6760977388915133,0.46875737855145927,0.005978609782627094,-0.32407540137843405,0.8527488084141622,-0.6984901222608587,0.985108278945572,0.511471860370803,0.45543055225105256,0.8164172238381499,0.9221834163322413,0.48361814233317896,0.28529013685195787,-0.7575038474546506,0.00483276178547526
LREMTTTTUSM156S,-0.13027158522411864,-0.1237211594629571,-0.17992131754080265,-0.15132107783322948,-0.15132107783322948,0.13505932345555338,0.09829865707504513,0.10206501954071018,-0.2071182631997992,-0.2516589964872147,-0.15656789657649958,0.37625473891402056,-0.6331189129863763,-0.6262846898095484,0.19823905672219191,0.5495848575068341,-0.06878897552430728,1.0,0.283606696847555,0.1630687468980945,-0.6285037092219347,0.43147090562408896,0.38085387366215806,-0.3959461363302399,0.7021772401208639,-0.23807770289490388,0.5565528011747082,0.7309442436173726,0.8833698580633644,-0.39598941240889285,0.21540779256084605,0.11046190201211598,0.06508126273430835,-0.4757211962895243,-0.38394673437758575,-0.24312388979436791,-0.21975642765242606,0.5782849580726439,-0.388040660816238,0.7491937282999386,-0.33659733800404484,0.52149721187251,-0.21320816214934438,-0.24563406205211816,-0.3510560024552104,-0.48713776760582894,-0.4220128320013558,-0.11839525150778485,-0.06274012176350068,0.5138622691973184,-0.38569753381884553
DGORDER,0.7286498609949973,0.7179122995583077,0.6918052870747838,0.7041263377153697,0.7041263377153697,-0.023782604955929803,-0.25384643001430407,-0.09068709704155373,0.5047618960218624,0.2705369080397382,0.34272244169492794,-0.62469559957973,-0.745515640894417,-0.6150383496480256,0.8820697769664624,0.6291339731130055,0.6315068037923859,0.283606696847555,1.0,0.3266419135226735,-0.736444020170024,0.8742409781048168,0.9425237690986249,0.5800800900216768,-0.32763155228375945,0.6121091051513862,0.7586186528937459,0.5747079673318289,0.36740094901993353,0.6210743055192773,0.8336841677800653,0.6294222029000731,0.13906127298083082,0.4374586595138985,0.5272144740872465,0.5806706277631548,-0.6459121052759423,0.4586590218372513,-0.6301813000750085,-0.13948326548378423,0.6587229276135401,0.011117331392162593,0.5218837937986619,0.3867082408614551,0.6211019184591104,0.5727874808616221,0.5092484417902311,-0.052799286568972904,-0.04094076403283222,-0.1123080400546009,-0.6310892782027763
TWEXBMTH,0.406997387084534,0.4090615620077959,0.4238382058606598,0.41290837871890035,0.41290837871890035,-0.08338582176667812,-0.15014131881169282,-0.10198058418851845,0.11514358164077468,0.5253855039034692,0.6962448795653937,-0.405053248526257,-0.6933291027743766,-0.6242753719894433,0.021409758671469086,0.8056427939300032,0.8317717128517436,0.1630687468980945,0.3266419135226735,1.0,-0.6810432021819199,0.018268450806994418,0.4654422022534232,-0.07557205904238251,-0.11867415071783466,0.7200619027647318,0.6087810203488722,0.556633020162973,0.05799153210623869,0.16337967188395985,0.5940238661989723,0.7715547574415371,0.6127814147935404,0.6030805054028404,0.6842000951710215,0.7650552767390398,-0.6314046137688415,0.6385511730937494,0.2633599351924788,0.05439557589645654,0.5060386178078534,-0.701627454264231,0.8227366043817013,0.28791823319314774,-0.06864817288632676,0.4574772137228211,0.6559190428753964,0.6072512069014806,0.3703653850687291,-0.6985677745720742,0.2628605600230238
UNRATENSA,-0.5055262107606698,-0.4993738629133245,-0.4791091206159767,-0.4895072307671624,-0.4895072307671624,-0.007176772508897759,0.18292773439529633,0.06964623875894739,-0.18337477621584292,-0.3559768954816743,-0.5059180063538037,0.36401446770850787,0.9891099137094631,0.832101853144381,-0.5179569837095246,-0.9163616096148056,-0.6706050001269057,-0.6285037092219347,-0.736444020170024,-0.6810432021819199,1.0,-0.6198515076607944,-0.8539720677975436,-0.08800479579439444,-0.03899313770334943,-0.5455725188943853,-0.9223708561868612,-0.8590414259949046,-0.5341876845770898,-0.2293562959654352,-0.8274702497382306,-0.7339501441272704,-0.279348437445154,-0.35397477466517885,-0.43347822916048695,-0.5688687153022475,0.7517380362029932,-0.8240178943115455,0.3696580261242586,-0.20119722743329937,-0.43893415784848455,0.11198417334354879,-0.5484567447040479,-0.21340060513606493,-0.10673682219092581,-0.29281987434261564,-0.39183035989082887,-0.14549125763448742,-0.024606819521451176,0.1807957387612658,0.3695431522967192
TCU,0.5144763236500612,0.5081047018264623,0.46042529784722164,0.4863405043777373,0.4863405043777373,0.018209198357309615,-0.13955784418804806,-0.03866805212833578,0.42436977424477496,0.04055411878132446,0.06012249763718653,-0.38317161227188157,-0.6235184316224248,-0.5350694846674829,0.8975655013443327,0.4283363162220832,0.2877245117217631,0.43147090562408896,0.8742409781048168,0.018268450806994418,-0.6198515076607944,1.0,0.8675796950865989,0.4691948339921362,-0.17283160777404202,0.25961910011552536,0.6411224244770694,0.5198605535780483,0.5494358529478675,0.4943789344022067,0.6570421508970223,0.38382872312409216,-0.11577132332994015,0.10678688882569017,0.17047252821322212,0.228388068098275,-0.47025361254571335,0.3750410583753038,-0.7831440733798946,0.03282816907509534,0.389465986029811,0.37970113100704284,0.15144690490581172,0.20823576347581138,0.523768126104138,0.27855066741708173,0.15361899696700956,-0.31739965614627025,-0.20205137802721515,0.25543039478285295,-0.7837969963725543
INDPRO,0.6902649283700578,0.67848228797707,0.6563215331874294,0.6657938471550006,0.6657938471550006,-0.024066671413950417,-0.24328182846018098,-0.08950366221746493,0.4407094168243295,0.3459992625370516,0.4324113424385346,-0.5917117512715696,-0.86249995298342,-0.7098361745253193,0.8239213715387979,0.7520948481727399,0.6915594541636605,0.38085387366215806,0.9425237690986249,0.4654422022534232,-0.8539720677975436,0.8675796950865989,1.0,0.4762066232821985,-0.2556027815974131,0.6420126185100253,0.8422191109402736,0.683808274406914,0.42318347586920857,0.5441855135922609,0.8849788148686397,0.7174726319495643,0.1647811413480014,0.4671810269464051,0.5466907365896779,0.627443427650231,-0.7263270489550786,0.6257414576561126,-0.5722043359491651,-0.07989455146717285,0.6619721610691126,-0.0517548057136838,0.5734861632139515,0.35463422139821793,0.5029788628126934,0.5236246320952367,0.5205317113348326,0.012384504097068294,-0.003401938739200882,-0.1664062593691923,-0.5731263187111911
PPIACO,0.6241634979388299,0.597117389808591,0.5863258209910134,0.5727898856909489,0.5727898856909489,0.032425568293921805,-0.32283459603815634,0.0009683624920742181,0.4882327022351228,0.22049248867002846,0.1654454704791528,-0.606763705049275,-0.09127872904329129,0.037237169502965045,0.7099153798030505,0.019791736583749983,0.4493610441496113,-0.3959461363302399,0.5800800900216768,-0.07557205904238251,-0.08800479579439444,0.4691948339921362,0.4762066232821985,1.0,-0.5567516706564952,0.6015021955340378,0.0797081415465567,-0.1884157940473045,-0.3230588027438387,0.6111513617263546,0.3650280997214193,0.18476619750344583,0.1053973953568306,0.5218299015950818,0.5941497645585306,0.5059348174418398,-0.05682666940758112,-0.1929045114881221,-0.2605990263696888,-0.6960839678949213,0.7257453079450148,-0.10236525796640335,0.4411574605443296,0.34239576881048317,0.9604102293498269,0.7084137773348654,0.6171809151261599,-0.14332002529361879,-0.09966638845575207,-0.19958539468195255,-0.26218675367361355
RMFSL,-0.5854661187624832,-0.5788602851118718,-0.6332005750437566,-0.6135838875278458,-0.6135838875278458,0.1904546563996225,0.24416501995520679,0.2487974574317798,-0.5474643153914542,-0.4665998850251121,-0.4546051552800065,0.8242293052623358,-0.04142026973367145,-0.10864062226944073,-0.3018620067362783,0.07282897679138055,-0.4384019971076584,0.7021772401208639,-0.32763155228375945,-0.11867415071783466,-0.03899313770334943,-0.17283160777404202,-0.2556027815974131,-0.5567516706564952,1.0,-0.5471144236198718,-0.10547691517196359,0.16471210839843684,0.5086955054545459,-0.8688300765015935,-0.4412049286866453,-0.44815548962982715,0.14759021487100435,-0.747918317035633,-0.6572497641997896,-0.5977923354420338,0.39077115902214243,0.09229366655479557,0.12287107785240504,0.6864291076286044,-0.683301140944478,0.5191493061659581,-0.4960327185496579,-0.56603854027481,-0.5590508787296959,-0.7874195289096375,-0.6702629615911022,-0.07501755750856537,-0.018144850820952806,0.5972899790557339,0.1263318972513918
